,arch_00,arch_01,arch_02,arch_03,arch_04,arch_05,arch_06,arch_07,arch_08,arch_09,arch_10,arch_11,arch_12,arch_13
2025-01-11,4970.102714569748,5496.872477952878,4513.245222332556,5187.30576977622,4489.614481442385,5101.804731691984,5397.106540641507,5185.943580239179,4808.955978956611,5030.858047623125,5284.933016079532,4684.689138062064,4827.237675758527,4915.268970413746
2025-01-12,4960.230194400666,5587.957583067043,4417.273567909614,5263.6583083276,4537.699226015746,5065.434042146528,5221.481707752425,5149.084776799666,4519.297392366546,5144.134815362686,5192.263479467844,4548.749008679218,4679.205529973363,5079.097721094227
2025-01-13,5021.972399195377,5440.751901094,4555.760675920669,5380.031150825144,4720.237130361566,5248.8618797606105,5500.358604095667,5327.305628789383,4768.705591003456,5396.816975156364,5573.441986082907,4662.8215891453465,4993.830444105566,5263.771278305247
2025-01-14,5309.94919631664,5733.728309331184,4694.777867788242,5426.806177280614,4761.127663141235,5552.487494964386,5838.249230911021,5435.81648975683,5087.741660209967,5415.769904662665,5582.070281776634,4926.298992451744,5011.417944743808,5236.793953109913
2025-01-15,5485.387235600148,5785.512389292652,4815.906488699871,5537.336059038725,4753.992723707748,5443.635798936737,5693.251072482823,5460.446758074314,5053.0937418783715,5327.615726463738,5694.431165224617,5205.06906276132,5170.067127381783,5593.492298996532
2025-01-16,4976.6499668685665,5613.411933319073,4593.929398914642,5430.906970625032,4806.5229671237585,5251.409060327093,5434.918235738917,5294.252292288527,4906.44921949858,5207.997471461906,5473.541562010189,4839.727535784638,5004.0224228696425,5140.157643124427
2025-01-17,4867.456773739577,5241.553430296004,4506.822952696192,5068.145396540236,4398.946357956581,4995.102198506184,5087.202227060801,5147.842168363582,4600.060979910567,5171.2722529967095,5049.66883863639,4602.176659023858,4573.81960570944,5017.20940177788
2025-01-18,4665.193857638952,5190.348077744069,4120.24583464536,4997.764369842421,4274.512037512181,4702.142268305908,5164.50451657358,4941.436169684708,4373.360859712507,4543.41121746418,4886.683856700917,4490.628752376292,4439.787565356017,4720.704104226132
2025-01-19,4629.9421796258,5063.559363970964,4015.2846004813528,4962.16172409248,4344.542161786342,4714.834643052534,4768.287457028228,4673.693258276806,4341.405507696707,4840.314784264123,4776.95550471177,4339.170791426976,4340.222987119914,4629.571044024779
2025-01-20,4609.553349850229,5159.953606045243,4338.754833695117,4776.433633349817,4431.5274793664785,4919.14646032002,5198.0952886850055,4940.414243241927,4442.689675804275,4719.154768915981,5233.782505082105,4461.926667492209,4475.077282190646,4793.398136808622
2025-01-21,4782.142252148531,5249.133988221649,4393.881587457568,5275.120345240047,4466.663169209791,5050.032808250764,5093.441809075346,4984.51124975194,4728.496512059066,5138.296236035955,5284.526500574436,4764.985903735522,4509.593078909031,5106.67955404026
2025-01-22,4938.064465571527,5305.499010916766,4634.52772370325,5320.565610119148,4440.448232554522,5145.823509975404,5251.152882575691,5190.8215874602565,4908.025345730854,5234.478196490301,5204.745708507278,4674.575361074377,4738.028821378541,5099.481543566548
2025-01-23,4894.727275251126,5137.404669910608,4316.021888624537,5208.795724801206,4528.403337226621,4991.177501298833,5105.315758163028,4954.93458205936,4579.90732692701,4859.294775036044,5270.725265253306,4576.059343490964,4660.197687655431,4803.907401656906
2025-01-24,4423.511607169091,4897.246695040687,4181.202869740758,4837.111789190443,4164.8776149563855,4961.250461172193,4825.279216358831,4609.383401709307,4309.4836856365255,4765.6082897302185,4820.1220374949235,4348.153409285042,4139.918738509257,4796.773577412686
2025-01-25,4204.280754664636,4502.986318612301,3942.338671282232,4688.479128773723,4060.574700098124,4492.146715863267,4700.281712154862,4413.646422161408,4198.899243259021,4280.518897997054,4512.99830240629,4261.917435760349,4168.040823673791,4359.329882230776
2025-01-26,4194.0764099281105,4524.743624320647,3934.0346438379047,4596.584311301293,3907.360743555406,4606.355392928112,4827.959176379212,4514.298232573457,4097.345310996822,4576.369484671476,4716.840445625779,4143.153021514755,4076.033761719796,4465.047069134486
2025-01-27,4301.846979384252,4809.587917241335,4015.063852669326,4705.068119309187,4278.845038073212,4604.432723421886,4856.312016619433,4578.250491348163,4133.257406783776,4489.589018215494,4680.5047317053095,4182.314475621931,4254.871316619271,4591.4709541728425
2025-01-28,4476.86902450604,4888.2403049343075,4178.671337598966,5047.174224580469,4291.065108601981,4770.376879775837,4936.738149974268,4723.899255848448,4559.046042291303,4837.011213939327,5126.002638107984,4543.874062149471,4439.27562501062,4863.7328973212425
2025-01-29,4596.521689494675,5047.092994725403,4381.834696215446,4969.828639079538,4349.661962827607,4715.016710423305,5050.726140645798,4976.155895685722,4593.3213461945015,4822.626862957204,5139.902322632622,4399.562696807964,4257.17585700621,4933.336446213636
2025-01-30,4637.598380080584,5011.641472503258,4318.181189083347,4958.049733058329,4359.094752875375,4808.604539648282,4628.030718394998,4601.599291617026,4393.921696531339,4585.898803890837,5073.023924797035,4501.119470576509,4220.114974059819,4546.766935049587
2025-01-31,4396.98289786016,4611.930653328329,4082.453197780713,4676.738300521234,4175.945591581518,4678.7389982942905,4802.121609263272,4657.997950418275,4174.361967703535,4588.5183384000975,4670.7352073026295,4325.991249930832,4183.332884569183,4357.200022762125
2025-02-01,4228.707197133983,4692.388960801956,3892.67566808327,4519.027230147933,4080.652045745975,4561.709206447174,4599.024067656439,4386.142700112686,3989.8843886119976,4319.313026439238,4420.468013637195,4034.933013743626,4017.311644311995,4319.289640580271
2025-02-02,4328.102442232037,4712.210831621406,3910.680015198241,4621.920066281667,3856.036539365524,4480.006227559961,4551.545896512701,4480.250903371228,4052.776475648484,4419.822597879865,4541.643584270794,3907.6448894452255,4069.9035850853866,4345.240361731587
2025-02-03,4371.754503929972,4746.941480029072,4219.793785840211,4646.802654976384,4163.320314280323,4601.077283844298,4865.018862303377,4366.478084500479,4541.417325496768,4464.657111202415,4874.969581029134,4338.082115308381,4130.276519198289,4501.311247100996
2025-02-04,4584.692479422791,5194.221266016281,4454.925924783019,5077.742697800163,4127.570445545769,5000.974812751589,4972.753968069407,5055.169666997837,4642.126423005004,5065.725504802651,5034.937416230851,4535.2859789453905,4434.670109835446,4955.490451066394
2025-02-05,4762.880267656737,5289.047853363866,4423.123789955829,5239.103037863973,4405.147909839987,5098.279450319661,5205.990579219243,5208.322964936398,4704.3919842103705,5018.925629865249,5304.065654312106,4434.516845588077,4515.06637417849,4850.203756040098
2025-02-06,4820.667819768896,5258.070352169874,4348.906767517047,5184.66764007853,4487.93307094107,4973.9907593491425,5114.715751746865,4939.13860309943,4499.1181895116315,4919.550987566031,5030.207781008282,4418.069096139075,4550.791381119004,4755.2207142057905
2025-02-07,4556.414894684644,4934.693380036217,4130.228239587584,4966.64194342789,4108.235254484878,4734.284430224565,4586.154053521079,4756.660105628039,4112.25099470413,4839.5152049558355,4907.408094329157,4212.619936096844,4260.557222217557,4736.219374391702
2025-02-08,4336.446662145944,4847.772806491501,3936.7290547585108,4696.560901160162,4088.1248248117145,4640.722835589621,4832.460443114482,4548.892210817426,4167.14237403607,4621.921759634426,4690.254028304728,4173.595027112254,4274.32744861391,4508.2916152360385
2025-02-09,4553.75608754547,4871.918076520851,4202.14238689548,4862.747132999415,3960.0129188685664,4575.743933446391,4676.4782076291995,4804.201167580688,4196.710990198533,4770.003366634839,4786.783304217121,4392.902495804149,4280.456288948469,4542.032739752942
2025-02-10,4809.97768970839,5000.042042109157,4314.420669743706,4926.551654539282,4274.029091520936,4856.854328835519,5080.898903184185,4847.776947546022,4624.5784336951665,4874.97188601301,4925.077627100814,4324.672307680579,4363.772773591193,4711.505968431316
2025-02-11,4785.948920335562,5303.0063626084575,4585.5393182562975,5563.370059208433,4447.428826155666,5175.190110010447,5370.488912809078,4963.201731247938,4674.42696239338,5006.362321230177,5119.832476025475,4673.626757948865,4770.8909870645775,5081.529432885237
2025-02-12,4867.482038887592,5456.365584543536,4787.327681193409,5548.637744431269,4544.0090182673985,5168.029957661996,5331.381032103042,5437.0331350139995,4874.295660575088,5321.150819973817,5445.6872650850755,4723.564358236298,4775.038297128388,5392.970367746721
2025-02-13,4686.288946745294,5441.5565413184295,4646.365219330806,5376.295509546493,4315.805848237306,5145.643982255491,5225.778049797924,5277.225034116678,4937.990775069316,5152.7671914655,5137.705795491871,4759.689277064911,4799.765542986429,5216.103824142903
2025-02-14,4722.673227888226,5378.556380485507,4325.406148866937,5209.730275619759,4627.422160817197,4758.6287605459565,4878.980911698693,4909.8305896135935,4525.937158374185,4962.050356010114,5025.2441290712,4631.199068884503,4537.010098703889,4589.768937155118
2025-02-15,4491.87571305973,5151.034906428194,4185.259956794078,4920.675985491291,4170.68130002119,4626.457110941412,5031.613675466033,4717.084769561223,4478.807174391194,4759.030406010645,4900.928699870794,4435.505962328482,4446.246611966318,4671.932525354544
2025-02-16,4712.461150075262,5218.595013397917,4134.784392809259,4848.625199882628,4126.3092235142585,4724.531292620195,5124.121112778532,4843.775963937286,4396.770601513683,5016.649857678618,4861.62960381398,4310.262693499814,4226.501864563209,4856.917257701607
2025-02-17,4764.256361493289,5313.516007986698,4431.881008308773,5196.757858365637,4364.05032624677,4970.40746598293,5260.143450460279,4993.5418742891125,4514.196431157052,4842.452421108683,4859.187999168686,4405.900218615619,4639.006008791743,5074.642546568528
2025-02-18,4901.906250708156,5575.371707991701,4665.269756231952,5525.586845228799,4668.959196298805,4976.044582495319,5255.336606017853,5340.698864516513,4883.28591385328,5124.628042460701,5239.392113890834,4867.941090551338,4834.054363236369,5212.640299480547
2025-02-19,5133.38551105288,5583.465531066036,4671.081648035696,5615.5351910191575,4688.704243423238,5335.249382465649,5422.257576936342,5201.414200738183,4907.822480318999,5257.461061644021,5293.496665944327,4783.347018889837,4871.758656616289,5275.006865867755
2025-02-20,4955.148467038588,5779.9564184561295,4782.728443931052,5662.435042546287,4597.627260029154,5005.946466274219,5238.089234271841,5142.529228613526,4787.058273929183,5152.2111206074205,5286.61627793666,4931.322927003126,4728.211934734835,5230.001064509439
2025-02-21,4602.820752731154,5397.869470869804,4463.440977028905,5283.080115842227,4452.1898686075,4679.419482412974,5056.692081394288,5033.008709999368,4668.58447851,4972.014613852013,5177.243841962571,4533.776690837489,4669.267510631156,4958.414244774989
2025-02-22,4828.637356381525,5067.586423903113,4169.87824569971,5060.215669205247,4174.072936240081,4672.278964588455,4879.043041650249,4800.198765576221,4352.908983729609,4862.19333437125,4802.655440967269,4393.847392180638,4533.240273411107,4688.034374318407
2025-02-23,4625.847199910975,4995.088173282554,4264.788995650957,4719.214889516515,4138.815937658102,4561.769867285872,4949.4292431409,4732.999274383144,4192.833043094158,4703.963893402826,4858.551018786066,4373.912456229072,4439.894486453294,4882.930239277217
2025-02-24,4830.625244448969,5360.40639991447,4293.786727441334,5162.440722017331,4502.096246712683,4804.064321739245,5209.103958920998,4855.790454480005,4449.24176942694,5054.102032918884,4947.2666878551145,4520.9790679615035,4554.721610046986,5032.534812562947
2025-02-25,5024.770380595509,5526.710241749038,4610.778149586108,5223.058475453132,4573.377180734069,4916.285241353994,5256.282515947969,5168.286874217275,4759.288388222582,5126.571519665697,5236.4490640757085,4593.039269987257,4728.855917222191,5036.590683175607
2025-02-26,5131.335330287316,5439.9250966196005,4602.177271014125,5502.678731661037,4878.857700382436,5065.865822429121,5385.050616300048,5115.133169803316,5004.189299507735,5259.245847046366,5274.391661795094,4709.121681794563,4842.647712660956,5184.359482804308
2025-02-27,4903.857693135402,5515.557831895982,4563.187067948809,5214.484479682451,4531.534786712928,5060.181638864009,5279.29008091272,5212.956891872169,4644.858505594176,5057.339171828616,5183.756532667444,4698.8311306153955,4747.205609135949,5237.8774063800865
2025-02-28,4580.5678577146455,5235.207218147391,4228.0760814446585,4848.837910622993,4474.366160735537,4896.053559265615,5007.2619283595195,4891.114754753492,4562.111146072403,4820.481376341391,5132.547370485082,4473.134421038108,4453.605514007197,4795.808711192901
2025-03-01,4544.530850281558,4843.211604195991,4221.673525178932,4585.562177336374,4077.0499590412533,4553.914368049686,4700.253702409378,4652.19506176077,4207.344578846608,4638.763893407524,4800.301096649183,4136.164548566169,4119.335580915178,4524.272928072327
2025-03-02,4366.77891809482,4893.467806370019,3862.5002610877123,4673.889030055725,3888.936856459986,4401.896630979068,4715.650821636434,4600.722073816035,4215.58336892552,4326.308965495292,4788.338375424412,4100.3318835604005,4371.46677270931,4503.198830464772
2025-03-03,4538.948352985413,4935.032614288377,4205.473995831288,4831.754147509863,4193.720503124164,4537.810043618917,4739.994858855891,4750.831845019663,4257.860245365251,4689.153017361177,4927.3678683430535,4278.389535026727,4261.983683803303,4563.513589508385
2025-03-04,4786.10370828995,5079.442097147097,4428.012090543095,4984.212352864159,4211.1077291126585,4771.504570341334,4960.638123783694,4973.130250711246,4389.667130670683,4885.837041842548,5019.515886029754,4498.396188749203,4424.361432387061,5011.656706490194
2025-03-05,4656.631696627616,5228.171565672918,4465.230279070631,4933.208303823037,4342.7325417820775,4909.593577000061,4970.14780353107,4825.775821053698,4624.983581933411,5003.335863328218,5023.252079619589,4663.9015658395965,4464.273086367981,5130.542115637975
2025-03-06,4485.083638295243,5052.087903022413,4156.1590454184825,4761.140600858111,4065.0099190717287,4467.189213056173,4797.328435427022,4693.119782868649,4325.689231121154,4656.1855894992195,4914.649788587857,4364.336878112514,4303.50496338594,4641.8120031704375
2025-03-07,4145.269751180743,4590.246216297635,3888.8406607234615,4537.7968581922805,3959.9432086991833,4477.526369818742,4497.543384353766,4503.407458052142,4079.9948037270024,4417.27188018258,4527.694050277194,3964.2608430220826,4115.724844301429,4350.416468414612
2025-03-08,4058.179472117761,4309.34714272626,3790.130413878609,4258.277049302709,3650.9143308845946,4332.6430909984265,4220.719309665849,4094.982776250181,3969.0913267866267,4045.1633941640694,4096.002859261962,3815.7732586864545,3862.694414738306,4146.900623709116
2025-03-09,4060.7500593149566,4306.122837811739,3704.1326311065027,4201.56591897667,3404.82591317007,3958.943926473462,4174.862764495351,4247.129410166066,3965.0860071323855,4207.1500159220595,4391.753240276938,3790.3179071639897,3741.1742475313577,3953.355480523983
2025-03-10,4079.5316759771063,4429.414214543969,3739.967465641318,4522.094902615845,3747.4379072520496,4093.55148983993,4518.1240275295895,4142.042126733198,4101.054211595728,4187.645754647999,4495.07121909952,3806.5632471560307,3971.5073088904333,4242.345316792677
2025-03-11,4318.621326274107,4579.67609685192,3920.4370335097383,4331.498728104591,3744.1700408392635,4410.642897057418,4591.016166839513,4402.992136579098,4172.127767927037,4480.357469227432,4551.247988883868,4127.171210479564,4004.916078941594,4342.29122127414
2025-03-12,4217.216510652854,4847.166671592337,4089.573643106904,4502.178986040182,3765.6142773673205,4302.043989096338,4583.265779026119,4455.091778792069,4252.287643137975,4187.891314899859,4424.305008530092,4349.406241630007,3837.3343350407326,4427.8084162024315
2025-03-13,4209.50537489112,4661.106458630688,3823.3319421780852,4438.6736883465355,3772.5486817104047,4285.603705054223,4478.736606273657,4353.334961569956,3990.25827644947,4199.73093607219,4451.58231651399,3940.324444926986,4000.4576931790098,4149.266507231588
2025-03-14,3859.8872870412893,4278.787039966155,3687.4412735954893,4044.917822905938,3537.5138070536673,4061.9541371430637,4282.680613111045,4170.360918598675,3754.891101506015,3964.574810709454,4285.992661264889,3816.5638802169633,3594.482643323976,3941.605895106883
2025-03-15,3741.331463351799,4083.2047508680603,3515.239779207766,4081.220594658053,3441.239018162535,3730.0429712722994,3963.735512123755,4056.494547332944,3597.1307580994385,3745.188219034497,3997.1831220225854,3428.63574049826,3624.8567880789324,3825.252588781045
2025-03-16,3713.0707060293125,4182.421468244506,3365.7855184889486,4005.1046293490995,3245.9187877773525,3563.847156356459,4103.93325356225,3808.23143365089,3647.745249607031,3620.122207189312,3957.9342557697155,3297.842853764983,3525.6484495625127,3931.732470672616
2025-03-17,3862.5932529789848,4079.796901252271,3576.0077323300247,4134.872395240155,3542.100366851704,3930.9854722476457,4342.994083294053,3921.6554886362883,3659.6189179046737,3904.365943382892,4189.096783820255,3791.3352297041433,3647.5658130386537,3875.000998744996
2025-03-18,4069.192909863388,4499.4239313393155,3833.288176445455,4101.085164779363,3615.7599310911637,4021.114772061135,4304.860855164539,4241.464416294217,4060.6309972808226,4169.356605281184,4443.564469968284,3971.70703914284,3920.118773565504,4121.874193918931
2025-03-19,4247.024894807823,4601.5950314558895,4058.9011216633803,4758.413138128897,3733.6013025200805,4537.494651278843,4537.423289318606,4306.158306323791,4071.3513186083715,4250.49742766943,4496.148102020494,4176.081634835127,3909.58052848505,4275.936646476098
2025-03-20,4182.141405062446,4416.208508548257,3902.136307942076,4318.12690958585,3880.371003616723,4264.995885521402,4297.714007878422,4444.47793623119,4069.821237492122,4279.682767393873,4371.284504430237,3921.4233474425546,3907.779347467106,4167.435213988642
2025-03-21,4049.6012522913375,4290.887536412864,3749.720063414853,4158.62546754065,3591.6777207687005,3981.9134820823783,4134.762789119758,3952.1411192236374,3817.795123885345,4220.70393119483,4175.167263407705,3758.0894875371223,3544.708708151717,3931.878508315998
2025-03-22,3545.2283172041216,4207.594117872479,3402.327209489715,3970.6795791355094,3288.648448059955,4002.8955241083654,4043.583512033589,3963.567925461013,3663.564941215337,3835.0597942256322,4028.1429034908283,3566.6337263653313,3675.8786494379187,3753.517276402182
2025-03-23,3759.4817589661743,4192.932871089308,3656.9211539567073,4070.727964231306,3436.601641517255,4080.7345905084553,4057.3393395416124,4083.707798153777,3699.9318591869383,3819.9626681787463,4155.745886309054,3709.3605813028425,3563.6922985745596,3860.5111824685496
2025-03-24,4094.896101148958,4460.738503139881,3654.569859418355,4211.23385211348,3698.3519617004754,4196.816315693036,4483.285266247348,4166.418971728335,3925.2307503558,3890.4727376787596,4435.446534042469,4122.245226538343,3850.568500295069,4240.746809589496
2025-03-25,4335.5922597309545,4626.374128914212,3966.9323867455496,4555.363116581401,3799.604405923266,4565.64429652541,4665.231001785941,4634.232044724183,4033.6187162801284,4412.637878231775,4595.512299954259,4090.2113910655967,4019.107728839486,4516.602200496563
2025-03-26,4502.734027556258,4852.391982776347,4195.6008486043675,4800.369972630229,3977.484182421662,4614.94437035083,4741.7635272814705,4477.441546281051,4196.143040419331,4626.050771196412,4768.642992953975,4313.655781688145,4169.14246135474,4722.793458473773
2025-03-27,4446.062246719587,4752.898043562814,4041.258172437074,4607.256184466353,3997.727601987268,4445.034213339572,4551.295854541131,4604.721088182897,4109.901923182057,4443.837230643735,4524.885719750473,4131.844028408575,4030.377345313279,4381.589216494207
2025-03-28,4105.942099983336,4680.751337222086,3877.526448378725,4504.058388104973,3923.706810126867,4370.499452451523,4552.924581064776,4165.46057549132,4058.0666568532656,4424.996132277031,4437.859108485185,4066.7435669937627,4001.9565171876943,4229.831666122608
2025-03-29,4098.968092506545,4743.058014148338,3607.920495015144,4487.547134111626,3524.4173585414446,4177.051783627257,4347.879167689798,4111.808457287737,3701.3289506709334,3992.936806319793,4289.856417945655,3815.776212172995,3845.3581011024266,4232.472428050891
2025-03-30,4183.035328865063,4475.792717831833,3638.1953889895976,4472.814269804006,3579.812302398257,4337.385272508256,4356.825851126844,4146.433421771448,3910.926391451589,4150.106189192964,4409.420495884786,3896.6777213883593,3799.465358774509,4418.533474974769
2025-03-31,4243.594469842334,4731.167929307569,3767.9884198376903,4641.328612046077,4069.3935834488,4449.075504895723,4679.665973139691,4367.275475856244,4074.9112591559506,4157.662607293889,4714.913959372924,3925.542658046901,4206.497993496048,4290.047558094718
2025-04-01,4515.96847028732,5145.061968265211,4288.373684327626,5065.8202748366975,4140.318590639808,4787.360754656252,4887.423449788151,4718.28828000114,4531.708997244684,4759.32258798748,4759.872292632081,4319.2683313211555,4107.477726557306,4725.372501439764
2025-04-02,4632.456945339476,5262.331823001315,4364.3530967345205,5211.387914679851,4118.281293954021,4818.07281131038,4964.581844065546,4952.520523527826,4438.4499435449725,4769.293361304413,5078.230250545962,4556.425236882335,4638.50365735199,4985.828546748005
2025-04-03,4650.000139106905,5027.169684840549,4388.428070333035,4885.859162594054,4160.613220735896,4774.45536343555,4901.841311577478,4740.405976126723,4454.526816379136,4907.364615522888,4810.138205742748,4290.095881157189,4431.072754040874,4775.121906442875
2025-04-04,4188.13715575024,4965.209614779051,4140.785085872973,4854.160198485473,3985.593760634804,4535.306387106805,4646.293540050439,4507.173176958737,4009.9896602164968,4576.151184833291,4704.163913269074,3924.677301867585,4305.217529843386,4548.201595144678
2025-04-05,4250.77996317415,4991.657719965832,3931.1358199288466,4625.29744492607,3705.698376600131,4367.618996431101,4591.834558850533,4298.069430755679,3965.7221482495856,4317.5514558601035,4533.760175458414,3988.4680666783224,3996.1248217246857,4453.217324768642
2025-04-06,4113.519180341416,4679.214270718746,3900.922239424925,4580.214846454876,3942.425923707691,4255.778041748544,4738.002572345528,4379.431637145116,4038.9342390438305,4282.251965325077,4484.340341876467,3990.859512073928,4037.1620479349776,4394.288064425478
2025-04-07,4679.390535105441,4955.084805089867,4311.269313633488,4788.627358793696,3983.5810906868955,4522.4759713223575,4779.33259655087,4527.632459801379,4297.181139365427,4328.272397509691,4748.824932511424,4017.6638388791266,4207.277329508772,4623.014873063849
2025-04-08,4716.6191952475465,5268.045797322624,4494.995656159031,5061.960896304653,4176.175719831938,4828.184616045919,4728.656007345261,4853.996085847957,4462.948488898599,4814.891239347297,4844.633043953341,4308.915128545298,4461.771967491411,4913.383565704868
2025-04-09,4791.346336997803,5451.807577773117,4485.507648929357,5084.993627598166,4241.419947167701,4621.6528521484315,5099.473745447233,4984.966861678658,4512.413462108492,4746.334340354325,4724.401631833156,4352.080579179554,4284.486709465235,4798.272594281041
2025-04-10,4536.147424937217,5288.988798401799,4257.519613277969,4932.957416320978,4142.808267726877,4867.290443803544,4931.706755069843,4875.452034267071,4256.642836420983,4929.213276268073,5045.26320979004,4324.471464351429,4414.223842627001,4813.954319655752
2025-04-11,4331.50529399736,5057.183445434258,3940.550226393857,4743.117239110366,3972.7058549012086,4739.555514538063,4693.864942521045,4670.6277613279035,4122.541381125646,4480.119213677452,4624.375188531742,4055.0928160387384,4345.386005444689,4393.909790465693
2025-04-12,4118.420895669964,4806.172315686691,3891.6532984981127,4605.437322002055,3738.671514556632,4188.62789987532,4311.776583478908,4262.873207662105,4026.0053475876725,4136.938418023505,4468.98626721118,3805.1554452616883,3937.745306630794,4368.08420899301
2025-04-13,4111.0035353714575,4469.895373041169,3800.7595150706607,4394.760555978906,3831.510366277989,4340.732264772298,4689.748440551966,4234.853258382049,4061.959105018555,4181.808971646363,4425.202002008432,3794.474006192392,4043.2806081138733,4369.060099670291
2025-04-14,4387.060253952491,4643.324653645619,4053.9843591074446,4671.308683729586,3799.4573340777374,4283.008893365737,4641.775515144339,4341.793676107663,3940.429632831839,4347.762500428672,4531.64241547742,3883.4491794074183,4054.299056460116,4442.592432631688
2025-04-15,4548.515917870737,4919.459382663214,4222.259724996857,4579.461589900531,3837.9147982534455,4598.16182727488,4751.79226157187,4464.770319310045,4160.82918517379,4485.144560675032,4714.725961965349,4272.323058043863,4263.900035161751,4559.440660008225
2025-04-16,4529.253243614898,4897.3798285388375,4372.680130187872,4729.416433247303,4037.9822071249337,4392.140548040919,4816.447183184194,4689.449902288498,4251.59461510711,4748.534988091639,4612.292805916031,4187.621476966297,4406.305952005946,4782.0248216750915
2025-04-17,4300.040115340523,4965.794949641029,4017.8747315019596,4581.998469840776,3830.9836698740237,4434.405421406276,4452.078577034177,4631.571018104729,4354.969905651015,4681.093091960941,4607.540606877822,4168.410176035216,4103.781079771474,4371.636449935507
2025-04-18,3961.8701751472327,4522.571328558194,3841.357071349503,4372.975836915608,3826.054455115792,4233.50568837417,4409.220531829663,4368.368831787343,3847.965637305778,4298.460925953039,4358.49855676774,3939.989580360729,3959.5151039974207,4178.569407388362
2025-04-19,4030.129611881644,4246.440906089325,3673.6967203033737,4217.821824142307,3463.99711859987,3984.418839951021,4220.777688984991,4183.114250614003,3582.7937118837963,3888.6473296701442,4138.4362562724655,3777.9377455448157,3554.4832050951172,3959.7469704363334
2025-04-20,3767.778124408375,4393.213133351116,3569.1106629833153,4194.4339755812,3562.891965230957,3770.235542494707,4282.73592091665,3785.349803848389,3641.711898792307,4130.445765513987,4192.378901241821,3806.4264665090523,3621.5965925462297,4021.0553998931878
2025-04-21,4071.90514823011,4379.359144366395,3774.477385461213,4077.6511007146537,3598.7806182874015,4083.6218113616314,4105.228557715379,4129.058349575113,3787.4716581607036,4052.5192357254537,4341.953557158394,3854.495392133179,3833.858481927635,4028.2059149373827
2025-04-22,4137.9345284092515,4743.393474871535,3975.9755898993776,4027.588070355656,3630.8445120124375,4142.641122241801,4318.143764254617,4108.807939678472,3933.3752467938416,4173.8044053481635,4326.9759735661355,3738.856299439526,3720.2047106894224,4214.323837815848
2025-04-23,4207.944954126852,4645.4818021251385,3890.317536812526,4527.790331794667,3936.7359741818736,4066.833318318096,4297.345736755458,4140.847769583068,4100.19499925048,4288.84674542135,4412.059463963942,3900.6804441208274,3768.162169494356,4277.513626118568
2025-04-24,3996.3176028466346,4488.613713145021,3697.3622272387697,4227.492157255794,3474.15294440359,3960.0744477085323,4408.543776606742,4132.424041101422,3743.732036213181,4123.893484875477,4390.535575253816,4021.834429441627,3880.0253605804605,4232.494228487199
